               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066713,            0.083178,            0.087168,            0.022038,             0.48443,            0.035067,            0.018189,            0.036556,            0.039059,            0.071759,            0.070187,           0.0033125,           0.0033125
                   1,            0.047683,            0.066266,            0.080383,             0.77755,            0.064126,            0.072595,            0.038046,            0.038104,            0.037764,             0.06742,            0.040144,            0.006602,            0.006602
                   2,            0.042105,             0.06338,            0.070881,             0.69141,             0.24931,             0.21072,             0.12449,            0.030637,            0.035161,            0.048906,            0.010056,           0.0098474,           0.0098474
                   3,            0.038564,            0.061337,            0.051226,             0.70916,             0.39651,             0.44102,             0.27384,            0.029005,            0.036081,            0.028537,            0.009802,            0.009802,            0.009802
                   4,            0.036532,            0.059278,            0.038984,             0.68993,             0.65091,             0.65195,             0.38796,            0.028768,             0.03379,            0.020894,            0.009802,            0.009802,            0.009802
                   5,            0.035198,            0.058882,            0.032099,             0.85812,              0.7342,             0.79894,             0.52007,            0.026505,            0.033399,            0.016688,            0.009736,            0.009736,            0.009736
                   6,               0.034,            0.057926,            0.028114,             0.82655,             0.80353,             0.84011,             0.52504,            0.028068,            0.033855,            0.014697,             0.00967,             0.00967,             0.00967
                   7,            0.033295,            0.056852,            0.025807,             0.90651,             0.81621,             0.86552,             0.57822,            0.026575,            0.033055,            0.012391,            0.009604,            0.009604,            0.009604
                   8,            0.032328,            0.055772,            0.023916,             0.91886,             0.84193,             0.88643,             0.60224,            0.025649,            0.032267,            0.011723,            0.009538,            0.009538,            0.009538
                   9,            0.031859,            0.055349,            0.022285,              0.9333,             0.85161,              0.9002,             0.60332,               0.026,             0.03205,            0.010577,            0.009472,            0.009472,            0.009472
                  10,            0.031287,            0.054486,            0.021388,             0.95013,             0.87374,             0.91664,             0.64461,            0.024631,            0.031485,           0.0095224,            0.009406,            0.009406,            0.009406
                  11,            0.031074,            0.054902,            0.020346,             0.95084,             0.87687,              0.9256,             0.66122,            0.023373,            0.031563,           0.0084769,             0.00934,             0.00934,             0.00934
                  12,            0.030516,            0.053975,             0.02036,             0.94755,             0.85735,             0.91888,             0.63618,            0.023998,            0.031985,           0.0094333,            0.009274,            0.009274,            0.009274
                  13,            0.030282,            0.053355,            0.019828,             0.95469,             0.85891,             0.92229,             0.66148,            0.023423,            0.031231,           0.0090082,            0.009208,            0.009208,            0.009208
                  14,            0.029839,             0.05292,            0.019178,             0.94137,             0.89141,             0.92573,             0.66017,            0.023299,            0.031144,           0.0096138,            0.009142,            0.009142,            0.009142
                  15,            0.029778,            0.053184,            0.018568,             0.93246,             0.88169,             0.92288,             0.66897,            0.023028,            0.030785,           0.0085041,            0.009076,            0.009076,            0.009076
                  16,            0.029525,            0.052859,            0.018605,             0.92042,              0.9107,             0.93296,              0.6662,            0.023364,            0.030948,           0.0085625,             0.00901,             0.00901,             0.00901
