               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059333,            0.017025,                   0,             0.92695,             0.85507,             0.90177,             0.38196,             0.04163,           0.0050349,                   0,            0.070091,           0.0033233,           0.0033233
                   1,            0.038382,           0.0094991,                   0,             0.96439,             0.91471,             0.96087,             0.56203,            0.030485,           0.0041484,                   0,            0.039761,           0.0063271,           0.0063271
                   2,            0.033438,           0.0080468,                   0,             0.94264,              0.9015,             0.94896,             0.55308,            0.031245,           0.0046943,                   0,           0.0091016,           0.0090009,           0.0090009
                   3,            0.030064,           0.0075973,                   0,             0.95678,             0.94418,             0.97098,              0.5887,            0.028547,           0.0039443,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.028184,           0.0072274,                   0,             0.96977,             0.94796,             0.97831,             0.63684,            0.026897,           0.0037474,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.027199,           0.0070324,                   0,             0.97299,              0.9273,             0.97602,             0.65202,            0.025979,           0.0037517,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.026433,           0.0068275,                   0,              0.9694,             0.95104,             0.97926,             0.64307,             0.02689,            0.003717,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.025729,           0.0067099,                   0,             0.97124,             0.95497,             0.98138,             0.64552,            0.027161,           0.0036185,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.025129,           0.0066094,                   0,              0.9675,             0.95122,             0.97949,             0.66114,            0.026009,           0.0035924,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.024639,           0.0065703,                   0,             0.94906,             0.96127,             0.97903,             0.64835,            0.026915,           0.0036432,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.024021,           0.0064169,                   0,             0.97148,             0.95497,              0.9848,             0.67131,            0.025727,           0.0035543,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.023699,           0.0063934,                   0,             0.96806,             0.96669,              0.9847,             0.67893,            0.025282,           0.0034963,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.023175,           0.0062504,                   0,              0.9597,              0.9667,             0.98493,             0.67785,            0.025169,           0.0035132,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.02287,           0.0061972,                   0,             0.97573,             0.96172,              0.9843,             0.68057,            0.025336,           0.0034684,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.022549,           0.0060981,                   0,             0.97748,              0.9531,             0.98384,             0.68444,            0.025183,           0.0034136,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.022052,            0.006111,                   0,             0.96947,             0.96799,             0.98429,             0.67602,            0.025422,           0.0034451,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.021689,           0.0059764,                   0,             0.97668,             0.96154,             0.98629,             0.68254,            0.024926,           0.0034292,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.021209,           0.0058917,                   0,             0.97806,             0.96192,             0.98374,             0.68772,            0.024805,           0.0034011,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.020819,           0.0058265,                   0,             0.97408,             0.96954,             0.98596,             0.68568,            0.024829,           0.0034378,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.020483,           0.0057922,                   0,             0.97776,             0.96931,             0.98572,             0.68955,            0.024843,           0.0034186,                   0,             0.00109,             0.00109,             0.00109
